"record_id","age","workclass","education","occupation","hours_per_week","income"
56,59,"Private","Prof-school","Adm-clerical",37,">50K"
57,18,"Private","11th","Tech-support",29,"<=50K"
58,46,"Private","Assoc-acdm","Craft-repair",48,"<=50K"
59,40,"Private","Assoc-acdm","Craft-repair",54,">50K"
60,41,"Local-gov","Doctorate","Sales",67,">50K"
61,44,"Local-gov","Assoc-acdm","Prof-specialty",45,"<=50K"
62,32,"Private","HS-grad","Sales",30,"<=50K"
63,34,"Private","Some-college","Other-service",53,"<=50K"
64,25,"Private","Assoc-voc","Sales",52,"<=50K"
65,24,"Private","Doctorate","Other-service",41,"<=50K"
66,43,"Local-gov","HS-grad","Adm-clerical",21,"<=50K"
67,45,"Private","Bachelors","Unknown",50,">50K"
68,39,"Private","Masters","Sales",54,"<=50K"
69,51,"Federal-gov","11th","Exec-managerial",37,"<=50K"
70,66,"Private","Doctorate","Adm-clerical",47,"<=50K"
71,32,"Self-emp-not-inc","Assoc-acdm","Craft-repair",37,">50K"
72,39,"Self-emp-not-inc","11th","Prof-specialty",49,"<=50K"
73,52,"State-gov","11th","Exec-managerial",39,"<=50K"
74,29,"Self-emp-not-inc","HS-grad","Exec-managerial",36,"<=50K"
75,29,"Private","Assoc-acdm","Exec-managerial",42,"<=50K"
76,52,"Private","Some-college","Prof-specialty",37,"<=50K"
77,35,"Private","Assoc-voc","Other-service",33,">50K"
78,22,"Private","Assoc-acdm","Handlers-cleaners",37,"<=50K"
79,41,"Private","Assoc-voc","Other-service",40,"<=50K"
80,37,"Private","HS-grad","Sales",43,">50K"
81,39,"Private","Assoc-voc","Other-service",59,"<=50K"
82,44,"Private","HS-grad","Exec-managerial",24,">50K"
83,33,"Private","Doctorate","Tech-support",38,">50K"
84,47,"Private","Prof-school","Other-service",48,"<=50K"
85,36,"Local-gov","Doctorate","Tech-support",62,"<=50K"
86,43,"Private","Doctorate","Adm-clerical",46,">50K"
87,53,"Private","11th","Tech-support",40,">50K"
88,39,"Private","Bachelors","Adm-clerical",37,"<=50K"
89,34,"Self-emp-not-inc","Doctorate","Tech-support",45,"<=50K"
90,54,"Private","Doctorate","Sales",53,"<=50K"
91,52,"Self-emp-not-inc","11th","Adm-clerical",38,">50K"
92,46,"Private","HS-grad","Adm-clerical",42,"<=50K"
93,42,"Private","Assoc-voc","Handlers-cleaners",43,"<=50K"
94,30,"Private","Doctorate","Other-service",49,">50K"
95,57,"Local-gov","Masters","Sales",54,"<=50K"
96,30,"Local-gov","11th","Adm-clerical",44,"<=50K"
97,68,"Federal-gov","Assoc-acdm","Adm-clerical",39,"<=50K"
98,59,"Private","Bachelors","Craft-repair",58,"<=50K"
99,35,"Unknown","Doctorate","Handlers-cleaners",42,"<=50K"
100,25,"Private","Doctorate","Craft-repair",60,"<=50K"
101,29,"Self-emp-not-inc","Assoc-voc","Adm-clerical",40,"<=50K"
102,42,"Local-gov","Masters","Adm-clerical",48,">50K"
103,35,"Private","Bachelors","Sales",21,"<=50K"
104,34,"Local-gov","Masters","Adm-clerical",39,"<=50K"
105,26,"State-gov","Some-college","Unknown",40,"<=50K"
106,38,"Private","Masters","Prof-specialty",31,"<=50K"
107,28,"Private","Assoc-acdm","Craft-repair",28,"<=50K"
108,17,"Self-emp-inc","Doctorate","Other-service",52,"<=50K"
109,33,"Self-emp-inc","Some-college","Craft-repair",52,"<=50K"
110,51,"Private","Assoc-voc","Adm-clerical",41,">50K"
111,31,"Private","Assoc-voc","Sales",46,"<=50K"
112,47,"Self-emp-not-inc","Doctorate","Other-service",27,">50K"
113,17,"Private","11th","Adm-clerical",27,"<=50K"
114,38,"Private","11th","Craft-repair",47,"<=50K"
115,46,"Private","Prof-school","Tech-support",32,">50K"
116,43,"Private","Some-college","Tech-support",53,"<=50K"
117,40,"Private","HS-grad","Handlers-cleaners",41,"<=50K"
118,30,"Self-emp-inc","Bachelors","Exec-managerial",47,">50K"
119,27,"Private","Prof-school","Craft-repair",34,"<=50K"
120,25,"Private","Masters","Prof-specialty",26,">50K"
121,40,"Private","Prof-school","Craft-repair",52,"<=50K"
122,26,"Private","Assoc-acdm","Tech-support",43,"<=50K"
123,32,"Local-gov","Doctorate","Other-service",37,"<=50K"
124,35,"Private","11th","Sales",41,">50K"
125,63,"Private","Bachelors","Handlers-cleaners",57,">50K"
126,30,"Private","Doctorate","Craft-repair",32,"<=50K"
127,42,"Self-emp-inc","Some-college","Prof-specialty",31,"<=50K"
128,40,"Private","Bachelors","Craft-repair",33,"<=50K"
129,26,"Private","Masters","Adm-clerical",21,"<=50K"
130,38,"Private","Doctorate","Handlers-cleaners",50,">50K"
131,58,"Private","Some-college","Exec-managerial",43,"<=50K"
132,45,"Self-emp-not-inc","11th","Craft-repair",43,"<=50K"
133,39,"Local-gov","Assoc-acdm","Other-service",40,"<=50K"
134,33,"Private","Bachelors","Exec-managerial",34,"<=50K"
135,17,"Local-gov","Assoc-voc","Adm-clerical",30,">50K"
136,54,"Local-gov","Some-college","Other-service",51,"<=50K"
137,19,"Private","Prof-school","Other-service",23,"<=50K"
138,48,"Private","11th","Craft-repair",46,"<=50K"
139,64,"Private","Assoc-voc","Other-service",31,">50K"
140,19,"Private","Some-college","Adm-clerical",44,"<=50K"
141,48,"Self-emp-not-inc","Masters","Other-service",31,"<=50K"
142,35,"Private","11th","Prof-specialty",34,"<=50K"
143,17,"Private","HS-grad","Adm-clerical",62,"<=50K"
144,18,"Self-emp-inc","11th","Tech-support",49,">50K"
145,17,"Private","11th","Tech-support",14,"<=50K"
146,31,"Private","Some-college","Adm-clerical",42,">50K"
147,19,"Private","HS-grad","Handlers-cleaners",35,"<=50K"
148,48,"Private","HS-grad","Exec-managerial",26,"<=50K"
149,67,"Private","Assoc-acdm","Handlers-cleaners",43,"<=50K"
150,39,"Private","Assoc-acdm","Other-service",42,"<=50K"
151,49,"State-gov","11th","Craft-repair",36,">50K"
152,49,"Private","Doctorate","Handlers-cleaners",65,"<=50K"
153,43,"Local-gov","Prof-school","Sales",13,">50K"
154,25,"State-gov","Prof-school","Exec-managerial",51,"<=50K"
155,37,"Private","Masters","Tech-support",37,"<=50K"
156,35,"Private","Prof-school","Exec-managerial",48,"<=50K"
157,46,"Private","Prof-school","Other-service",35,"<=50K"
158,33,"Self-emp-not-inc","11th","Exec-managerial",33,">50K"
159,52,"Private","Assoc-voc","Craft-repair",19,"<=50K"
160,39,"Private","Bachelors","Tech-support",38,"<=50K"
161,53,"Private","Some-college","Prof-specialty",71,"<=50K"
162,24,"Private","Bachelors","Adm-clerical",53,"<=50K"
163,21,"Private","Masters","Exec-managerial",61,"<=50K"
164,75,"Private","Bachelors","Adm-clerical",52,"<=50K"
165,33,"Private","Some-college","Sales",54,">50K"
166,43,"Private","Some-college","Prof-specialty",52,"<=50K"
167,47,"Private","Assoc-acdm","Craft-repair",46,"<=50K"
168,32,"Private","11th","Prof-specialty",33,"<=50K"
169,45,"Private","Masters","Adm-clerical",34,"<=50K"
170,43,"Federal-gov","Bachelors","Other-service",21,"<=50K"
171,36,"Private","Assoc-acdm","Other-service",40,"<=50K"
172,39,"Private","Masters","Prof-specialty",51,"<=50K"
173,38,"Private","Bachelors","Sales",53,"<=50K"
174,67,"State-gov","HS-grad","Craft-repair",42,"<=50K"
175,28,"Unknown","Masters","Prof-specialty",34,">50K"
176,24,"Private","11th","Sales",81,"<=50K"
177,39,"Local-gov","Bachelors","Handlers-cleaners",49,"<=50K"
178,43,"Private","Assoc-acdm","Tech-support",58,"<=50K"
179,44,"Private","11th","Other-service",36,"<=50K"
180,32,"Private","Prof-school","Adm-clerical",41,"<=50K"
181,24,"Private","Bachelors","Tech-support",46,"<=50K"
182,56,"Private","Assoc-acdm","Prof-specialty",61,"<=50K"
183,34,"Private","Prof-school","Other-service",37,">50K"
184,27,"State-gov","Bachelors","Prof-specialty",51,">50K"
185,35,"Self-emp-not-inc","Masters","Craft-repair",15,">50K"
186,36,"Private","Doctorate","Tech-support",34,">50K"
187,53,"Private","Prof-school","Prof-specialty",25,"<=50K"
188,40,"Self-emp-not-inc","Prof-school","Unknown",54,"<=50K"
189,49,"Private","Masters","Adm-clerical",38,"<=50K"
190,32,"Private","HS-grad","Other-service",36,"<=50K"
191,41,"Private","HS-grad","Adm-clerical",57,"<=50K"
192,34,"Private","HS-grad","Craft-repair",54,">50K"
193,40,"Private","Prof-school","Other-service",29,"<=50K"
194,26,"Local-gov","HS-grad","Handlers-cleaners",46,">50K"
195,21,"Private","Assoc-acdm","Sales",41,"<=50K"
196,65,"Private","HS-grad","Prof-specialty",35,"<=50K"
197,47,"State-gov","Bachelors","Tech-support",60,"<=50K"
198,22,"Private","Masters","Exec-managerial",58,"<=50K"
199,30,"Self-emp-inc","Prof-school","Prof-specialty",54,"<=50K"
200,22,"Private","Prof-school","Handlers-cleaners",33,"<=50K"
201,68,"Self-emp-not-inc","11th","Craft-repair",17,"<=50K"
202,56,"State-gov","Bachelors","Exec-managerial",26,"<=50K"
203,35,"Private","Some-college","Handlers-cleaners",52,"<=50K"
204,46,"Local-gov","11th","Exec-managerial",37,"<=50K"
205,33,"Private","HS-grad","Tech-support",14,"<=50K"
206,32,"Federal-gov","HS-grad","Other-service",38,">50K"
207,28,"Private","HS-grad","Exec-managerial",58,"<=50K"
208,30,"Private","Bachelors","Sales",48,"<=50K"
209,61,"Self-emp-not-inc","Doctorate","Craft-repair",30,"<=50K"
210,38,"Private","Bachelors","Adm-clerical",21,"<=50K"
211,40,"Private","Prof-school","Handlers-cleaners",30,"<=50K"
212,42,"Federal-gov","HS-grad","Adm-clerical",41,">50K"
213,55,"Private","Bachelors","Other-service",51,">50K"
214,32,"Private","Assoc-voc","Other-service",17,"<=50K"
215,25,"Private","Doctorate","Other-service",53,">50K"
216,61,"Self-emp-not-inc","Prof-school","Handlers-cleaners",40,"<=50K"
217,33,"Private","Doctorate","Prof-specialty",47,"<=50K"
218,29,"Self-emp-not-inc","Assoc-acdm","Exec-managerial",20,">50K"
219,22,"Private","Doctorate","Other-service",32,"<=50K"
220,21,"Self-emp-inc","11th","Prof-specialty",35,"<=50K"
221,31,"Private","Doctorate","Exec-managerial",53,"<=50K"
222,47,"Private","Bachelors","Exec-managerial",53,"<=50K"
223,53,"Private","11th","Handlers-cleaners",46,"<=50K"
224,48,"State-gov","Assoc-acdm","Craft-repair",60,"<=50K"
225,34,"Self-emp-inc","Some-college","Prof-specialty",34,"<=50K"
226,39,"Private","Bachelors","Sales",53,"<=50K"
227,29,"Private","Prof-school","Prof-specialty",40,"<=50K"
228,29,"Private","Bachelors","Prof-specialty",32,">50K"
229,50,"Self-emp-not-inc","Assoc-acdm","Craft-repair",52,">50K"
230,39,"Private","Assoc-acdm","Exec-managerial",57,">50K"
231,65,"Private","Masters","Sales",51,"<=50K"
232,37,"Private","Bachelors","Sales",34,"<=50K"
233,41,"Private","Assoc-acdm","Other-service",35,">50K"
234,29,"Private","Bachelors","Handlers-cleaners",57,">50K"
235,31,"Private","Assoc-acdm","Other-service",45,"<=50K"
236,21,"Private","Assoc-acdm","Prof-specialty",51,">50K"
237,36,"Private","Prof-school","Handlers-cleaners",36,"<=50K"
238,44,"Local-gov","Doctorate","Craft-repair",56,"<=50K"
239,43,"Self-emp-inc","11th","Tech-support",30,"<=50K"
240,28,"Private","Doctorate","Exec-managerial",48,"<=50K"
241,28,"Private","Prof-school","Adm-clerical",30,"<=50K"
242,32,"Private","Assoc-voc","Other-service",10,">50K"
243,59,"Private","Some-college","Handlers-cleaners",24,"<=50K"
244,23,"Private","Assoc-acdm","Adm-clerical",42,"<=50K"
245,36,"Unknown","Assoc-voc","Adm-clerical",51,"<=50K"
246,64,"Private","Doctorate","Other-service",19,"<=50K"
247,37,"Private","11th","Prof-specialty",25,"<=50K"
248,20,"Private","Doctorate","Exec-managerial",62,">50K"
249,30,"Private","Assoc-acdm","Exec-managerial",35,"<=50K"
250,45,"Local-gov","Assoc-acdm","Tech-support",47,"<=50K"
251,33,"Self-emp-not-inc","Masters","Tech-support",34,"<=50K"
252,31,"Private","HS-grad","Exec-managerial",37,"<=50K"
253,34,"Private","Assoc-acdm","Adm-clerical",41,"<=50K"
254,40,"Private","Bachelors","Sales",41,"<=50K"
255,60,"Private","HS-grad","Craft-repair",38,"<=50K"
256,37,"State-gov","Assoc-acdm","Tech-support",35,"<=50K"
257,53,"Private","Assoc-voc","Craft-repair",3,"<=50K"
258,47,"Private","Assoc-voc","Craft-repair",63,"<=50K"
259,37,"Federal-gov","Prof-school","Other-service",62,"<=50K"
260,18,"Private","Bachelors","Unknown",27,"<=50K"
261,31,"Private","11th","Handlers-cleaners",38,">50K"
262,32,"Private","Masters","Handlers-cleaners",57,">50K"
263,39,"Private","Bachelors","Exec-managerial",53,"<=50K"
264,56,"Private","Masters","Prof-specialty",56,"<=50K"
265,69,"Local-gov","Assoc-voc","Sales",27,"<=50K"
266,59,"Private","11th","Handlers-cleaners",72,"<=50K"
267,37,"Private","Bachelors","Prof-specialty",26,"<=50K"
268,17,"Self-emp-inc","Masters","Exec-managerial",50,">50K"
269,33,"Private","Masters","Handlers-cleaners",42,"<=50K"
270,40,"Federal-gov","Assoc-voc","Craft-repair",35,"<=50K"
271,50,"Private","Doctorate","Tech-support",36,"<=50K"
272,51,"Local-gov","Bachelors","Other-service",28,"<=50K"
273,48,"Private","Masters","Tech-support",60,"<=50K"
274,20,"Private","Bachelors","Craft-repair",42,"<=50K"
275,50,"State-gov","Assoc-acdm","Craft-repair",41,"<=50K"
276,32,"Private","Some-college","Sales",43,"<=50K"
277,41,"Local-gov","Prof-school","Adm-clerical",36,"<=50K"
278,40,"Private","11th","Adm-clerical",26,">50K"
279,44,"Private","HS-grad","Sales",44,"<=50K"
280,39,"Private","Masters","Tech-support",15,">50K"
281,17,"Private","Assoc-acdm","Sales",23,"<=50K"
282,48,"Self-emp-not-inc","Doctorate","Sales",27,"<=50K"
283,44,"Private","Prof-school","Handlers-cleaners",27,"<=50K"
284,35,"Local-gov","Bachelors","Tech-support",42,"<=50K"
285,40,"Private","Bachelors","Other-service",60,"<=50K"
286,40,"Private","Some-college","Craft-repair",22,"<=50K"
287,41,"Local-gov","Doctorate","Other-service",46,"<=50K"
288,61,"Private","Bachelors","Handlers-cleaners",51,"<=50K"
289,36,"Private","Some-college","Other-service",28,">50K"
290,39,"Private","Doctorate","Exec-managerial",40,"<=50K"
291,54,"Self-emp-not-inc","Bachelors","Adm-clerical",51,"<=50K"
292,53,"Private","Some-college","Tech-support",37,">50K"
293,54,"Private","HS-grad","Adm-clerical",38,"<=50K"
294,31,"Self-emp-not-inc","Masters","Exec-managerial",44,"<=50K"
295,66,"Private","Masters","Adm-clerical",40,"<=50K"
296,39,"Private","Prof-school","Exec-managerial",34,"<=50K"
297,64,"Local-gov","Doctorate","Prof-specialty",39,"<=50K"
298,20,"Local-gov","Bachelors","Craft-repair",64,"<=50K"
299,39,"Self-emp-not-inc","HS-grad","Tech-support",51,"<=50K"
300,55,"Private","Assoc-voc","Sales",29,"<=50K"
301,29,"Private","Assoc-acdm","Exec-managerial",25,"<=50K"
302,28,"Private","Some-college","Adm-clerical",36,">50K"
303,26,"Private","Assoc-voc","Craft-repair",57,"<=50K"
304,24,"Self-emp-not-inc","11th","Exec-managerial",44,"<=50K"
305,33,"Local-gov","Some-college","Handlers-cleaners",41,">50K"
306,43,"Private","Bachelors","Prof-specialty",51,">50K"
307,17,"Private","Assoc-acdm","Exec-managerial",39,"<=50K"
308,41,"Private","Assoc-acdm","Tech-support",27,"<=50K"
309,55,"Private","HS-grad","Craft-repair",46,"<=50K"
310,39,"Private","Prof-school","Exec-managerial",59,"<=50K"
311,56,"Private","Prof-school","Other-service",46,"<=50K"
312,49,"Private","Masters","Handlers-cleaners",43,"<=50K"
313,17,"Self-emp-not-inc","Assoc-acdm","Adm-clerical",32,">50K"
314,30,"Private","Assoc-voc","Sales",47,"<=50K"
315,34,"Local-gov","11th","Exec-managerial",27,"<=50K"
316,48,"Private","Bachelors","Other-service",20,">50K"
317,37,"Local-gov","Some-college","Adm-clerical",40,"<=50K"
318,22,"Private","Prof-school","Adm-clerical",40,"<=50K"
319,61,"Private","Prof-school","Tech-support",69,"<=50K"
320,51,"Private","Assoc-voc","Handlers-cleaners",25,">50K"
321,42,"Self-emp-not-inc","Bachelors","Other-service",43,"<=50K"
322,55,"Private","Bachelors","Prof-specialty",50,"<=50K"
323,20,"State-gov","Some-college","Prof-specialty",53,"<=50K"
324,47,"Private","Some-college","Craft-repair",40,"<=50K"
325,31,"Federal-gov","Prof-school","Sales",31,"<=50K"
326,48,"Private","Bachelors","Sales",40,"<=50K"
327,38,"Private","11th","Handlers-cleaners",64,"<=50K"
328,47,"Private","Doctorate","Handlers-cleaners",46,"<=50K"
329,57,"Private","11th","Handlers-cleaners",15,"<=50K"
330,39,"Private","Some-college","Exec-managerial",58,"<=50K"
331,52,"Private","Bachelors","Handlers-cleaners",47,"<=50K"
332,22,"Private","Doctorate","Prof-specialty",40,"<=50K"
333,29,"Unknown","11th","Tech-support",40,"<=50K"
334,59,"Private","Some-college","Adm-clerical",39,"<=50K"
335,44,"Private","Doctorate","Handlers-cleaners",44,"<=50K"
336,17,"Private","Assoc-acdm","Sales",34,"<=50K"
337,20,"Local-gov","Assoc-acdm","Sales",44,">50K"
338,36,"Local-gov","Masters","Tech-support",29,"<=50K"
339,50,"Self-emp-not-inc","HS-grad","Sales",43,"<=50K"
340,37,"Private","Some-college","Other-service",54,"<=50K"
341,47,"Private","Bachelors","Other-service",47,"<=50K"
342,51,"Private","Some-college","Exec-managerial",53,">50K"
343,61,"Private","Assoc-voc","Exec-managerial",27,"<=50K"
344,39,"Private","Assoc-voc","Adm-clerical",41,"<=50K"
345,38,"Private","HS-grad","Unknown",48,"<=50K"
346,17,"Self-emp-inc","Prof-school","Sales",27,"<=50K"
347,40,"Private","Bachelors","Tech-support",60,"<=50K"
348,31,"Private","Doctorate","Other-service",28,"<=50K"
349,25,"Private","Assoc-voc","Sales",42,"<=50K"
350,36,"Private","Prof-school","Craft-repair",42,">50K"
351,52,"Private","Assoc-voc","Tech-support",42,"<=50K"
352,17,"Private","Prof-school","Craft-repair",38,"<=50K"
353,33,"Private","Some-college","Exec-managerial",46,">50K"
354,40,"Private","Masters","Other-service",28,"<=50K"
355,26,"Private","Assoc-voc","Tech-support",25,">50K"
356,43,"Private","Masters","Sales",32,"<=50K"
357,44,"Private","Doctorate","Exec-managerial",40,">50K"
358,38,"Self-emp-not-inc","11th","Adm-clerical",56,">50K"
359,17,"Private","Assoc-acdm","Prof-specialty",60,">50K"
360,73,"Private","Assoc-voc","Sales",41,"<=50K"
361,36,"Private","11th","Sales",45,"<=50K"
362,47,"Private","Masters","Craft-repair",37,">50K"
363,42,"Self-emp-not-inc","Bachelors","Adm-clerical",41,"<=50K"
364,52,"Private","Doctorate","Tech-support",23,">50K"
365,50,"Private","Assoc-acdm","Other-service",44,"<=50K"
366,36,"Private","Doctorate","Adm-clerical",34,"<=50K"
367,44,"Private","11th","Other-service",45,"<=50K"
368,26,"Private","11th","Handlers-cleaners",36,"<=50K"
369,50,"Private","Assoc-acdm","Exec-managerial",32,"<=50K"
370,32,"Private","Doctorate","Other-service",38,"<=50K"
371,71,"Private","Doctorate","Adm-clerical",36,"<=50K"
372,17,"Private","11th","Exec-managerial",54,"<=50K"
373,32,"Private","Prof-school","Craft-repair",43,"<=50K"
374,50,"Private","Assoc-voc","Tech-support",46,">50K"
375,45,"Private","Some-college","Craft-repair",25,">50K"
376,31,"Self-emp-not-inc","Assoc-acdm","Exec-managerial",59,"<=50K"
377,25,"Private","Masters","Sales",42,"<=50K"
378,40,"Self-emp-inc","Prof-school","Handlers-cleaners",30,">50K"
379,38,"Private","11th","Prof-specialty",44,"<=50K"
380,17,"Private","Prof-school","Craft-repair",51,">50K"
381,39,"Private","HS-grad","Sales",23,"<=50K"
382,41,"Private","HS-grad","Prof-specialty",61,"<=50K"
383,41,"State-gov","Assoc-voc","Handlers-cleaners",38,"<=50K"
384,24,"Private","Bachelors","Other-service",54,"<=50K"
385,45,"State-gov","Some-college","Sales",41,"<=50K"
386,57,"Private","Prof-school","Adm-clerical",36,"<=50K"
387,45,"Private","11th","Prof-specialty",18,"<=50K"
388,23,"State-gov","Assoc-voc","Handlers-cleaners",27,"<=50K"
389,33,"Private","Masters","Prof-specialty",40,">50K"
390,43,"Private","Prof-school","Other-service",51,"<=50K"
391,30,"Federal-gov","Assoc-voc","Tech-support",17,"<=50K"
392,17,"Private","11th","Other-service",57,"<=50K"
393,50,"Private","Assoc-acdm","Exec-managerial",58,"<=50K"
394,27,"Private","Masters","Exec-managerial",26,"<=50K"
395,39,"Private","Assoc-acdm","Craft-repair",46,"<=50K"
396,59,"Self-emp-not-inc","Masters","Exec-managerial",28,"<=50K"
397,28,"Private","Assoc-acdm","Tech-support",39,"<=50K"
398,50,"Private","11th","Prof-specialty",52,"<=50K"
399,21,"Private","Assoc-voc","Sales",51,"<=50K"
400,34,"Private","Bachelors","Tech-support",30,"<=50K"
401,38,"Private","Assoc-acdm","Other-service",36,"<=50K"
402,23,"Private","Prof-school","Adm-clerical",28,"<=50K"
403,30,"Private","Some-college","Craft-repair",45,"<=50K"
404,38,"Private","Assoc-voc","Prof-specialty",21,"<=50K"
405,48,"Private","11th","Other-service",8,"<=50K"
406,17,"Local-gov","11th","Craft-repair",58,"<=50K"
407,34,"Private","HS-grad","Tech-support",68,"<=50K"
408,49,"Self-emp-inc","Bachelors","Handlers-cleaners",35,"<=50K"
409,31,"Private","Assoc-acdm","Other-service",50,"<=50K"
410,42,"Unknown","Prof-school","Exec-managerial",40,">50K"
411,45,"Local-gov","Some-college","Adm-clerical",59,">50K"
412,42,"State-gov","Assoc-voc","Adm-clerical",47,">50K"
413,47,"Private","Bachelors","Exec-managerial",43,"<=50K"
414,37,"Private","Prof-school","Other-service",18,"<=50K"
415,33,"Private","Prof-school","Adm-clerical",54,">50K"
416,17,"Local-gov","Masters","Adm-clerical",36,"<=50K"
417,37,"Private","11th","Exec-managerial",23,"<=50K"
418,44,"Private","Bachelors","Tech-support",38,"<=50K"
419,46,"Local-gov","HS-grad","Adm-clerical",39,"<=50K"
420,39,"Private","Masters","Tech-support",53,"<=50K"
421,63,"Self-emp-not-inc","Some-college","Handlers-cleaners",26,"<=50K"
422,42,"Private","HS-grad","Prof-specialty",34,"<=50K"
423,40,"Private","Masters","Tech-support",59,"<=50K"
424,56,"Self-emp-inc","Masters","Tech-support",57,">50K"
425,29,"Private","Prof-school","Handlers-cleaners",55,"<=50K"
426,32,"Private","Assoc-acdm","Exec-managerial",61,"<=50K"
427,71,"Private","Assoc-voc","Exec-managerial",43,">50K"
428,39,"Federal-gov","Doctorate","Adm-clerical",33,"<=50K"
429,61,"State-gov","Assoc-voc","Exec-managerial",47,"<=50K"
430,19,"Private","HS-grad","Unknown",53,"<=50K"
431,36,"State-gov","Some-college","Sales",70,"<=50K"
432,44,"Private","Masters","Sales",16,"<=50K"
433,43,"Self-emp-not-inc","Masters","Exec-managerial",44,"<=50K"
434,25,"Self-emp-not-inc","Bachelors","Adm-clerical",48,"<=50K"
435,39,"Private","Assoc-voc","Tech-support",40,"<=50K"
436,24,"Private","Some-college","Craft-repair",21,"<=50K"
437,48,"Private","Assoc-acdm","Adm-clerical",50,"<=50K"
438,53,"State-gov","HS-grad","Other-service",31,"<=50K"
439,17,"Private","Assoc-acdm","Other-service",47,"<=50K"
440,55,"Private","11th","Exec-managerial",52,">50K"
441,22,"Private","Assoc-acdm","Adm-clerical",56,"<=50K"
442,45,"Private","Doctorate","Sales",21,"<=50K"
443,47,"Private","Masters","Exec-managerial",54,"<=50K"
444,36,"Private","Doctorate","Handlers-cleaners",31,"<=50K"
445,30,"Local-gov","Assoc-voc","Craft-repair",25,"<=50K"
446,41,"Local-gov","11th","Sales",57,"<=50K"
447,44,"Private","Masters","Tech-support",54,"<=50K"
448,50,"Private","Some-college","Handlers-cleaners",37,"<=50K"
449,17,"Private","Masters","Adm-clerical",50,"<=50K"
450,17,"Private","Masters","Craft-repair",30,">50K"
451,58,"Private","Masters","Prof-specialty",39,"<=50K"
452,53,"Local-gov","Some-college","Handlers-cleaners",39,"<=50K"
453,44,"Local-gov","Bachelors","Prof-specialty",37,"<=50K"
